SQFT8    ,SQFTC8   ,YRCONC8  ,PBA8     ,ELUSED8  ,NGUSED8  ,FKUSED8  ,PRUSED8  ,STUSED8  ,HWUSED8  ,HEATP8   ,HTLS508  ,FURNAC8  ,BOILER8  ,PKGHT8   ,SLFCON8  ,HTPMPH8  ,STHW8    ,OTHTEQ8  ,FURNP8   ,BOILP8   ,PKGHP8   ,SLFCNP8  ,HTPHP8   ,STHWP8   ,OTHTP8   ,MAINHT8  ,PKGHPS8  ,SPLHPS8  ,RMHPS8   ,AIRHPT8  ,GRDHPT8  ,WTRHPT8  ,NWMNHT8  ,RDHTNF8  ,HWRDHT8  ,COOLP8   ,PKGCL8   ,RCAC8    ,ACWNWL8  ,HTPMPC8  ,CHWT8    ,CHILLR8  ,EVAPCL8  ,OTCLEQ8  ,PKGCP8   ,RCACP8   ,ACWNWP8  ,HTPCP8   ,CHWTP8   ,CHILP8   ,EVAPP8   ,OTCLP8   ,MAINCL8  ,PKGCPS8  ,SPLCPS8  ,RMCPS8   ,AIRCPT8  ,GRDCPT8  ,WTRCPT8  ,NWMNCL8  ,RDCLNF8  ,HWRDCL8  ,VAV8     ,ECN8     ,MAINT8   ,EMCS8    ,HDD658   ,CDD658   ,MFHTBTU8 ,MFCLBTU8 ,HTEUI,CLEUI,HTCLEUI,ADJWT8   
106000,7,7,5,1,1,2,2,2,2,50, ,2,2,2,2,1,2,2,   ,   ,   ,   ,100,   ,   ,5,1,2,2,2,2,1, ,2, ,100,2,2,2,1,2,2,2,2,   ,   ,   ,100,   ,   ,   ,   ,4,1,2,2,2,2,1, ,2, ,2,1,1, ,8083,673,3905173,881919,36.84125472,8.319990566,45.16124528,38.21
148000,7,3,14,1,1,2,2,2,2,100, ,2,1,2,2,2,2,2,   ,100,   ,   ,   ,   ,   ,2, , , , , , ,1,1,1,10,1,2,1,2,2,2,2,2,60,   ,40,   ,   ,   ,   ,   ,1, , , , , , ,1,1,1,1,1,1,2,6764,599,9202457,71250,62.17876351,0.481418919,62.66018243,137.73
12500,4,6,12,1,2,2,2,2,2,80, ,1,2,2,2,2,2,2,100,   ,   ,   ,   ,   ,   ,1, , , , , , ,2,1,2,80,1,2,2,2,2,2,2,2,100,   ,   ,   ,   ,   ,   ,   ,1, , , , , , ,2,1,2,2,2,1,2,6261,592,57701,9698,4.61608,0.77584,5.39192,2724.37
3350,2,8,26,1,2,2,1,2,2,100, ,2,2,2,2,1,2,1,   ,   ,   ,   ,15,   ,85,7,1,2,2,1,2,2, ,2, ,15,2,2,2,1,2,2,2,2,   ,   ,   ,100,   ,   ,   ,   ,4,1,2,2,1,2,2, ,2, ,2,2,2, ,4645,1208,12084,8347,3.607164179,2.491641791,6.09880597,2546.83
15250,4,8,23,1,1,2, ,2,2,   , , , , , , , , ,   ,   ,   ,   ,   ,   ,   , , , , , , , , , , ,   , , , , , , , , ,   ,   ,   ,   ,   ,   ,   ,   ,  , , , , , , , , , , , , , ,6148,790,428637,59366,28.10734426,3.892852459,32.00019672,192.92
12750,4,3,2,1,1,2,2,2,2,100, ,2,2,1,2,2,2,2,   ,   ,100,   ,   ,   ,   ,3, , , , , , ,1,2, ,100,1,2,2,2,2,2,2,2,100,   ,   ,   ,   ,   ,   ,   ,1, , , , , , ,1,2, ,2,1,1, ,4194,1897,724795,95098,56.84666667,7.458666667,64.30533333,402.35
17500,4,6,12,1,1,2,2,2,2,100, ,1,2,2,1,2,2,2,100,   ,   ,1,   ,   ,   ,1, , , , , , ,1,2, ,100,1,2,2,2,2,2,2,2,100,   ,   ,   ,   ,   ,   ,   ,1, , , , , , ,1,2, ,2,2,1, ,3374,1276,1115793,85872,63.7596,4.906971429,68.66657143,734.43
106000,7,7,25,1,1,2,2,2,2,100, ,2,2,1,1,2,2,2,   ,   ,85,25,   ,   ,   ,3, , , , , , , ,1,3,100,1,2,2,2,2,2,2,2,100,   ,   ,   ,   ,   ,   ,   ,1, , , , , , , ,1,3,2,1,1,1,2295,1292,292962,1061191,2.763792453,10.01123585,12.7750283,97.97
74000,6,6,14,1,1,2,2,2,2,100, ,1,2,1,1,1,2,2,50,   ,15,5,75,   ,   ,5,2,2,1,2,2,1,1,1,3,95,2,2,2,1,2,1,1,2,   ,   ,   ,75,   ,75,2,   ,6,2,2,1,2,2,1,2,1,3,2,2,1,1,2719,1553,1377352,756872,18.61286486,10.228,28.84086486,223.94
1550,2,7,14,1,2,2,2,2,2,100, ,2,2,2,1,2,2,2,   ,   ,   ,100,   ,   ,   ,4, , , , , , , ,1,3,100,2,2,1,2,2,2,2,2,   ,   ,100,   ,   ,   ,   ,   ,3, , , , , , , ,1,3, , , ,1,832,4791,2517,26093,1.623870968,16.83419355,18.45806452,1702.02
