SQFT8    ,SQFTC8   ,YRCONC8  ,PBA8     ,ELUSED8  ,NGUSED8  ,FKUSED8  ,PRUSED8  ,STUSED8  ,HWUSED8  ,CLIMATE8 ,FREESTN8 ,WLCNS8   ,RFCNS8   ,GLSSPC8  ,EQGLSS8  ,SUNGLS8  ,BLDSHP8  ,NFLOOR8  ,ELEVTR8  ,NELVTR8  ,ESCLTR8  ,RENOV8   ,RENADD8  ,RENRDC8  ,RENCOS8  ,RENEXT8  ,RENINT8  ,RENHVC8  ,RENLGT8  ,RENWIN8  ,RENPLB8  ,RENINS8  ,RENOTH8  ,GOVOWN8  ,GOVTYP8  ,OWNER8   ,OWNOCC8  ,NOCC8    ,NOCCAT8  ,MONUSE8  ,PORVAC8  ,OPEN248  ,OPNMF8   ,OPNWE8   ,WKHRS8   ,WKHRSC8  ,NWKER8   ,NWKERC8  ,HT18     ,HT28     ,COOL8    ,WATR8    ,COOK8    ,MANU8    ,GENR8    ,ONEACT8  ,FACIL8   ,HEATP8   ,FURNAC8  ,BOILER8  ,PKGHT8   ,SLFCON8  ,HTPMPH8  ,STHW8    ,OTHTEQ8  ,MAINHT8  ,NWMNHT8  ,RDHTNF8  ,HWRDHT8  ,COOLP8   ,PKGCL8   ,RCAC8    ,ACWNWL8  ,HTPMPC8  ,CHWT8    ,CHILLR8  ,EVAPCL8  ,OTCLEQ8  ,PKGCP8   ,MAINCL8  ,NWMNCL8  ,RDCLNF8  ,HWRDCL8  ,VAV8     ,ECN8     ,MAINT8   ,EMCS8    ,WTHTEQ8  ,HWTRM8   ,RFGEQP8  ,RFGWI8   ,RFGOP8   ,RFGCL8   ,RFGRES8  ,RFGVEN8  ,PCTERM8  ,SERVER8  ,MNFRM8   ,SRVFRM8  ,TRNGRM8  ,STDNRM8  ,OTPCRM8  ,PCRMP8   ,SRVNUM8  ,SRVRC8   ,PCNUM8   ,PCTRMC8  ,FLAT8    ,FLATC8   ,PRNTRN8  ,PRNTYP8  ,COPIER8  ,COPRN8   ,FAX8     ,RDOFEQ8  ,CAPGEN8  ,ELHT18   ,NGHT18   ,ELHT28   ,NGHT28   ,ELCOOL8  ,NGCOOL8  ,ELWATR8  ,NGWATR8  ,ELCOOK8  ,NGCOOK8  ,ELMANU8  ,NGMANU8  ,NGGENR8  ,ELLOCUT8 ,ELNONLU8 ,ELOTSRC8 ,NGLOCUT8 ,NGOTSRC8 ,NGSRC8   ,LTOHRP8  ,LOHRPC8  ,LTNHRP8  ,LNHRPC8  ,RDLTNF8  ,BULB8    ,FLUOR8   ,CFLR8    ,HID8     ,HALO8    ,OTLT8    ,FLUORP8  ,SREF8    ,HEB8     ,WINTYP8  ,TINT8    ,REFL8    ,AWN8     ,SKYLT8   ,AUTOLT8  ,DAYLTP8  ,HDD658   ,CDD658   ,MFEUI8   ,ELCEUI8   ,ADJWT8   
65000,6,5,2,1,1,2,2,2,2,3,1,1,1,2,1, ,4,4,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,3,10,1,2,3,12,2,2,1,2,50,4,250,8,1,2,1,1,2,2,2,1,2,100,1,2,2,2,2,2,2,1,2,1,1,100,1,2,2,2,2,2,2,2,100,1,1,1,1,2,2,1,2,1,2,1,2,2,2,2,1,1,1,1,2,2,2,2,1,1,1,200,6,1,2,15,1,1,50,1,1,2,2,1,2,2,1,2,1,2,2,2,2,2,2,1,2,2,1,2,1,100,4,0,5,1,2,1,2,2,2,2,100,2,1,3,1,2,2,2,2,0,5372,825,46.95710769,11.25201538,221.72
14250,4,4,18,1,1,2,2,2,2,2,1,1,4,3,2,1,9,2,2,   ,2,2,2,2,2,2,2,2,2,2,2,2,2,2, ,3,2,1,2,12,2,1,1,1,168,7,1,2,1,2,2,1,1,2,2,1,1,100,2,1,2,2,2,2,2,2,2,1,1,   , , , , , , , , ,   ,  , , , ,2, ,1,2,1,1,1,2,2,2,1,2,1,2,2,2,1,2,2,10,        ,  ,12,3,1,3,4,1,2,     ,2, ,2,2,1,2,2,2,2,2,1,1,1,2,2,2,1,2,2,2,1,2,50,2,   , , ,1,1,1,1,2,2,90,2,1,2,2,2,1,2,2,60,4719,764,91.66540351,2.62,446.21
20000,4,5,23,1,1,2, ,2,2,1, ,  ,  , , , ,  ,   , ,   , , , , , , , , , , , , , , , ,  , ,5,3,  , , , , ,   , ,      ,  ,1,2,1,1, , , , , ,   , , , , , , , , , , , ,   , , , , , , , , ,   ,  , , , , , , , , , , , , , , , , , , , , , , ,   ,        ,  ,        ,  , , ,        , , ,     , , , ,2,1,2,2,1,2,2,1, , , , , , , , , , , ,   , ,   , ,2, , , , , , ,   , , , , , , , , ,   ,5741,854,172.87985,19.78955,864.37
164000,7,5,14,1,2,1,1,2,2,2,1,1,1,3,2,3,9,3,1,1,2,1,2,2,2,2,2,1,2,1,2,1,2,1,3,10,1,1,2,12,2,2,1,1,84,5,120,7,1,1,1,1,1,2,1,1,2,100,1,1,1,2,1,2,2,2,2,1,1,30,1,2,1,1,2,2,2,2,95,1,1,1,1,2,1,1,2,3,2,1,1,1,1,2,1,1,1,2,1,1,1,2,3,8,2,280,7,2, ,20,2,1,11,1,1,1,2, ,1, ,1, ,1, ,1, ,2, , ,1,2,2, , , ,100,4,50,2,1,1,1,1,1,2,2,90,2,1,2,2,2,1,1,2,5,6224,613,87.77156098,8.721731707,137.78
2050,2,2,23,1,1,2, ,2,2,1, ,  ,  , , , ,  ,   , ,   , , , , , , , , , , , , , , , ,  , ,3,3,  , , , , ,   , ,      ,  ,1,2,1,1, , , , , ,   , , , , , , , , , , , ,   , , , , , , , , ,   ,  , , , , , , , , , , , , , , , , , , , , , , ,   ,        ,  ,        ,  , , ,        , , ,     , , , ,2,1,2,2,1,2,1,1, , , , , , , , , , , ,   , ,   , ,2, , , , , , ,   , , , , , , , , ,   ,6453,381,147.2390244,21.04341463,742.06
106000,7,7,5,1,1,2,2,2,2,1,1,7,6,4,1, ,8,1, ,   , , , , , , , , , , , , , ,2, ,1,1,6,4,12,2,2,1,2,60,4,210,7,1,1,1,1,2,1,2,2,2,50,2,2,2,2,1,2,2,5, ,2, ,100,2,2,2,1,2,2,2,2,   ,4, ,2, ,2,1,1, ,1,2,1,2,2,2,1,2,1,1,2,1,2,2,2,2,6,2,140,6,1,4,70,2,1,8,1,1,2,1,2,2,1,1,2,1,2,2,2,1,2,2,1,2,2,1,2,1,100,4,10,1,1,1,1,1,1,1,2,70,2,1,2,1,1,2,1,2,15,8083,673,78.91431132,15.1540566,38.21
148000,7,3,14,1,1,2,2,2,2,2,1,1,6,3,1, ,5,2,2,   ,2,1,2,2,1,2,2,1,1,2,1,2,2,1,3,10,1,1,2,12,2,2,1,2,80,5,89,6,1,2,1,1,1,2,1,1,2,100,2,1,2,2,2,2,2,2,1,1,1,10,1,2,1,2,2,2,2,2,60,1,1,1,1,1,1,1,2,3,1,1,1,2,1,2,1,1,1,1,2,1,1,2,20,5,2,284,7,2, ,10,1,1,4,1,2,1,2,1,2,2,1,2,1,1,2,1,2,2,1,9,9,9,9,9,9,100,4,10,1,1,1,1,1,2,2,2,75,1,1,1,1,1,2,2,2,0,6764,599,110.5761892,7.047283784,137.73
12500,4,6,12,1,2,2,2,2,2,2,1,1,4,1,2,1,2,1, ,   , , , , , , , , , , , , , ,2, ,3,1,1,2,12,2,2,2,1,2,2,2,2,1,2,1,1,2,2,2,1,2,80,1,2,2,2,2,2,2,1,2,1,2,80,1,2,2,2,2,2,2,2,100,1,2,1,2,2,2,1,2,1,2,2, , , , , ,1,1,2,2,2,2,2,   ,1,1,2,1,1,1,2,1,1,1,2,2,2,1, ,2, ,1, ,1, ,2, ,2, , ,1,2,2, , , ,4,1,2,1,1,1,1,2,2,2,2,80,1,1,2,1,2,2,2,2,0,6261,592,12.23136,3.5848,2724.37
3350,2,8,26,1,2,2,1,2,2,3,1,5,5,1,2,2,2,1, ,   , , , , , , , , , , , , , ,1,2,9,1,1,2,12,2,2,2,2,35,2,1,2,1,1,1,1,2,2,2,1,1,100,2,2,2,2,1,2,1,7, ,2, ,15,2,2,2,1,2,2,2,2,   ,4, ,2, ,2,2,2, ,2,2,2, , , , , ,1,2,2,2,2,2,2,   ,        ,  ,1,1,2, ,1,1,2,     ,2,1,2,2, ,1, ,1, ,1, ,2, ,2, , ,1,2,2, , , ,50,2,0,5,1,1,1,2,2,2,2,100,1,1,2,1,2,2,2,2,15,4645,1208,26.06985075,7.640597015,2546.83
15250,4,8,23,1,1,2, ,2,2,2, ,  ,  , , , ,  ,   , ,   , , , , , , , , , , , , , , , ,  , ,6,4,  , , , , ,   , ,      ,  ,1,2,1,1, , , , , ,   , , , , , , , , , , , ,   , , , , , , , , ,   ,  , , , , , , , , , , , , , , , , , , , , , , ,   ,        ,  ,        ,  , , ,        , , ,     , , , ,1,2,2,2,1,2,1,1, , , , , , , , , , , ,   , ,   , ,2, , , , , , ,   , , , , , , , , ,   ,6148,790,134.864459,24.3962623,192.92
